Portal/Fonte,Domínio,Tipo de Conteúdo,Frequência de Atualização,RSS Feed URL,Relevância para Monitoramento,Origem
Fernando Vasconcellos,fernandovasconcelos.com,"Publicidade, Consultoria",Variável,Verificar site,MÉDIA - Consultoria em publicidade,Original
Google News,news.google.com,Geral (inclui publicidade),Contínua,https://news.google.com/rss,BAIXA - Publicidade em contexto geral,Original
Portal Megabrasil,megabrasil.com.br,"Publicidade, Comunicação, Negócios",Diária,https://megabrasil.com.br/feed,MÉDIA - Publicidade e comunicação,Original
LinkedIn Pulse,linkedin.com/pulse,Conteúdo Profissional,Contínua,https://linkedin.com/pulse/feed,BAIXA - Conteúdo profissional,Original
Twitter/X #publicidade,twitter.com,Conteúdo em Tempo Real,Contínua,https://api.twitter.com/2/tweets/search,BAIXA - Menções em tempo real,Original
Instagram #agencias,instagram.com,Conteúdo em Tempo Real,Contínua,https://api.instagram.com/feed,BAIXA - Menções em tempo real,Original
Governo.br RSS,gov.br,Geral (governo),Variável,https://www.gov.br/rss,BAIXA - Geral (governo),Original
Repórter Brasil RSS,reporterbrasil.org.br,Jornalismo Investigativo,Variável,http://reporterbrasil.org.br/categorias/noticias/feed/,MÉDIA - Jornalismo investigativo,Original
Update or Die,updateordie.com,"Publicidade, Marketing, Criatividade, Tendências",Diária,https://updateordie.com/feed/,ALTA - Blog de referência em publicidade e criatividade,Novo
Update or Die - Publicidade,updateordie.com,"Publicidade, Marketing, Campanhas",Diária,https://updateordie.com/category/publicidade/feed/,ALTA - Categoria específica de publicidade,Novo
Exame,exame.com,"Negócios, Marketing, Publicidade, Economia",Contínua,https://exame.com/feed/,MÉDIA - Marketing em contexto empresarial,Novo
Tecnoblog,tecnoblog.net,"Tecnologia, Marketing Digital",Diária,https://tecnoblog.net/feed/,BAIXA - Tecnologia com cobertura ocasional,Novo
Mundo do Marketing,mundodomarketing.com.br,"Marketing, Publicidade, Comunicação",Diária,https://mundodomarketing.com.br/feed/,ALTA - Principal portal de marketing do Brasil,Novo
Valor Econômico - Marketing,valor.globo.com,"Negócios, Marketing, Publicidade",Diária,https://valor.globo.com/empresas/marketing/,MÉDIA - Marketing e negócios,Novo
Canaltech,canaltech.com.br,"Tecnologia, Publicidade Digital",Contínua,https://canaltech.com.br/rss/,BAIXA - Tecnologia com cobertura ocasional de publicidade,Novo
B9,b9.com.br,"Criatividade, Inovação, Cultura Digital",Variável,https://www.b9.com.br/feed/,MÉDIA - Criatividade e inovação,Novo
ABAP,abap.com.br,"Agências, Publicidade, Mercado Publicitário",Variável,https://www.abap.com.br/noticias/,ALTA - Associação oficial de agências,Novo
Marcodigital,marcodigital.com.br,"Marketing Digital, Mídias Digitais",Variável,https://marcodigital.com.br/,MÉDIA - Marketing digital,Novo
Agência Brasil (EBC),agenciabrasil.ebc.com.br,"Notícias Gerais, Governo, Economia",Contínua,https://agenciabrasil.ebc.com.br/rss/ultimasnoticias/feed.xml,BAIXA - Notícias gerais do governo,Novo
Startupi,startupi.com.br,"Startups, Empreendedorismo, Inovação",Variável,https://startupi.com.br/,MÉDIA - Startups e inovação,Novo
Mercado & Consumo,mercadoeconsumo.com.br,"Marketing, Consumo, Varejo",Diária,https://mercadoeconsumo.com.br/,MÉDIA - Marketing e consumo,Novo
Portal Comunique-se,comunique-se.com.br,"Comunicação, Jornalismo, Publicidade",Diária,https://comunique-se.com.br/,MÉDIA - Comunicação corporativa,Novo
Shots,shots.net,"Publicidade Internacional, Campanhas",Diária,https://shots.net/news/feed/,BAIXA - Publicidade internacional (inglês),Novo
The Drum,thedrum.com,"Marketing, Publicidade, Mídia",Contínua,https://www.thedrum.com/rss/news/,BAIXA - Marketing internacional (inglês),Novo
Adweek,adweek.com,"Publicidade, Marketing, Mídia",Contínua,https://www.adweek.com/feed/,BAIXA - Publicidade internacional (inglês),Novo
Campaign Brasil,campaignbrasil.com.br,"Publicidade, Marketing, Criatividade",Semanal,https://campaignbrasil.com.br/,ALTA - Publicidade e criatividade,Novo
Meio & Mensagem - Blogs,meioemensagem.com.br,"Publicidade, Mídia, Comunicação",Diária,https://meioemensagem.com.br/blogs/feed/,ALTA - Blogs especializados,Novo
Propmark - Agências,propmark.com.br,"Publicidade, Marketing, Agências",Diária,https://propmark.com.br/agencias/feed/,ALTA - Categoria específica de agências,Novo
